Duration,Protocol,SourceIP,DestinationIP,SourcePort,DestinationPort,PacketCount,ByteCount,Label,Throughput_Bps,Avg_Packet_Size
24.07774941456343,TCP,192.168.1.239,192.168.1.234,8055,1,827,198244,Attack,8233.4937782886,239.71463119709796
97.2523835323651,ICMP,192.168.1.176,192.168.1.82,63174,687,673,1202973,Normal,12369.59914303444,1787.478454680535
85.84265356551866,TCP,192.168.1.120,192.168.1.113,30873,570,319,984671,Attack,11470.649602513258,3086.742946708464
79.1969912938061,UDP,192.168.1.212,192.168.1.140,4410,683,375,36284,Normal,458.1487176121769,96.75733333333334
34.92801848791397,TCP,192.168.1.17,192.168.1.223,4702,989,465,817463,Normal,23404.21917386651,1757.9849462365592
31.135166433848138,TCP,192.168.1.141,192.168.1.233,49643,328,766,47409,Attack,1522.6833651500897,61.891644908616186
22.89652969087636,TCP,192.168.1.86,192.168.1.219,52005,571,361,526498,Attack,22994.663693939394,1458.4432132963989
29.76814924256834,UDP,192.168.1.163,192.168.1.238,20260,312,709,1159755,Normal,38959.59371036593,1635.7616361071932
65.64680341959848,TCP,192.168.1.235,192.168.1.62,4393,767,105,186558,Attack,2841.8443897041934,1776.7428571428572
22.845303299081564,TCP,192.168.1.130,192.168.1.183,15310,620,224,560158,Attack,24519.613185547845,2500.7053571428573
63.53010870049537,UDP,192.168.1.129,192.168.1.20,32048,610,491,119875,Normal,1886.900596457901,244.14460285132384
9.027575338100258,ICMP,192.168.1.90,192.168.1.23,65017,72,33,852745,Normal,94460.02587217951,25840.757575757576
16.917425869539482,ICMP,192.168.1.255,192.168.1.77,29712,859,254,119942,Normal,7089.849302426114,472.21259842519686
79.03652648104747,UDP,192.168.1.40,192.168.1.110,10135,6,143,378711,Attack,4791.594682375279,2648.328671328671
85.54499163514674,TCP,192.168.1.198,192.168.1.45,58469,447,639,1478921,Attack,17288.22426341059,2314.430359937402
43.12054557053485,ICMP,192.168.1.124,192.168.1.204,53868,667,15,814764,Normal,18895.02994963832,54317.6
59.358007036291205,UDP,192.168.1.79,192.168.1.206,8615,828,958,352053,Attack,5931.011123482574,367.4874739039666
13.61319249567724,ICMP,192.168.1.224,192.168.1.209,45050,91,906,1102961,Normal,81021.47974108472,1217.396247240618
47.62954455454231,ICMP,192.168.1.174,192.168.1.52,22475,40,105,422057,Normal,8861.243666033532,4019.5904761904762
0.5628754616562759,ICMP,192.168.1.8,192.168.1.116,40413,300,808,588809,Normal,1046073.3148100185,728.7240099009902
8.78620201090996,UDP,192.168.1.120,192.168.1.216,36125,521,615,398001,Normal,45298.412158722975,647.1560975609756
25.146316381757792,TCP,192.168.1.246,192.168.1.233,64751,746,743,755127,Normal,30029.328691171693,1016.321668909825
73.54423400155792,UDP,192.168.1.33,192.168.1.142,13271,776,767,75819,Attack,1030.9305825170998,98.85136897001304
78.11039849027794,TCP,192.168.1.168,192.168.1.24,10306,111,802,819088,Attack,10486.286279821607,1021.3067331670823
91.52686467578516,ICMP,192.168.1.105,192.168.1.11,34664,31,240,1434220,Normal,15669.934779044659,5975.916666666667
17.900685830323383,TCP,192.168.1.183,192.168.1.127,41171,116,795,660728,Normal,36910.764551866545,831.1044025157232
